,Trafo_id,Date_Time,Active_Energy
0,100469,2019-11-01 00:00:00,552.6
1450,121970,2019-11-01 01:00:00,666.4
2,100469,2019-11-01 02:00:00,528.0
969,121695,2019-11-01 03:00:00,750.0
1453,121970,2019-11-01 04:00:00,634.4
1939,121990,2019-11-01 05:00:00,237.5
6,100469,2019-11-01 06:00:00,657.6
1456,121970,2019-11-01 07:00:00,1293.6
1942,121990,2019-11-01 08:00:00,982.0
491,100528,2019-11-01 09:00:00,826.2
1459,121970,2019-11-01 10:00:00,1269.6
1945,121990,2019-11-01 11:00:00,991.0
12,100469,2019-11-01 12:00:00,721.8
495,100528,2019-11-01 13:00:00,958.2
980,121695,2019-11-01 14:00:00,995.6
497,100528,2019-11-01 15:00:00,899.4
1950,121990,2019-11-01 16:00:00,1108.0
15,100469,2019-11-01 17:00:00,1333.2
16,100469,2019-11-01 18:00:00,903.6
985,121695,2019-11-01 19:00:00,660.8
18,100469,2019-11-01 20:00:00,738.0
987,121695,2019-11-01 21:00:00,683.6
504,100528,2019-11-01 22:00:00,753.0
505,100528,2019-11-01 23:00:00,651.6
22,100469,2019-11-02 00:00:00,550.2
23,100469,2019-11-02 01:00:00,492.6
24,100469,2019-11-02 02:00:00,538.8
993,121695,2019-11-02 03:00:00,712.0
1477,121970,2019-11-02 04:00:00,580.8
1478,121970,2019-11-02 05:00:00,538.4
512,100528,2019-11-02 06:00:00,407.4
997,121695,2019-11-02 07:00:00,578.0
998,121695,2019-11-02 08:00:00,650.4
515,100528,2019-11-02 09:00:00,868.8
516,100528,2019-11-02 10:00:00,1007.4
1001,121695,2019-11-02 11:00:00,640.4
518,100528,2019-11-02 12:00:00,906.6
1003,121695,2019-11-02 13:00:00,527.6
1972,121990,2019-11-02 14:00:00,586.5
1488,121970,2019-11-02 15:00:00,926.4
1489,121970,2019-11-02 16:00:00,686.4
1490,121970,2019-11-02 17:00:00,558.4
40,100469,2019-11-02 18:00:00,455.4
1009,121695,2019-11-02 19:00:00,210.0
1978,121990,2019-11-02 20:00:00,290.5
43,100469,2019-11-02 21:00:00,435.6
1012,121695,2019-11-02 22:00:00,203.2
45,100469,2019-11-02 23:00:00,400.8
46,100469,2019-11-03 00:00:00,318.0
1983,121990,2019-11-03 01:00:00,204.0
1499,121970,2019-11-03 02:00:00,573.6
1500,121970,2019-11-03 03:00:00,596.0
1018,121695,2019-11-03 04:00:00,148.0
1019,121695,2019-11-03 05:00:00,98.4
1988,121990,2019-11-03 06:00:00,158.5
1989,121990,2019-11-03 07:00:00,205.0
